date,symbol,asset_type,open,high,low,close,adj_close,volume,vix,fng
2024-11-01,BTC-USD,crypto,70346.9,71520.59,68866.03,69531.96,,64764647003.57491,21.8799991607666,75.0
2024-11-02,BTC-USD,crypto,69608.0,69896.03,69086.03,69319.96,,50326627050.18816,,72.0
2024-11-03,BTC-USD,crypto,69316.0,69373.64,67593.72,68832.86,,36194109863.87805,,74.0
2024-11-04,BTC-USD,crypto,68670.68,69346.28,66948.02,67792.92,,48962107476.49826,21.979999542236328,70.0
2024-11-05,BTC-USD,crypto,67853.77,70435.69,67481.95,69348.54,,59336565216.83972,20.489999771118164,70.0
2024-11-06,BTC-USD,crypto,69521.94,76097.95,69439.38,75567.57,,137250861477.0453,16.270000457763672,70.0
2024-11-07,BTC-USD,crypto,75597.01,76751.96,74433.97,75919.31,,103484517640.69336,15.199999809265137,77.0
2024-11-08,BTC-USD,crypto,75927.95,77115.59,75638.04,76544.78,,74504748582.48781,14.9399995803833,75.0
2024-11-09,BTC-USD,crypto,76424.82,76893.95,75838.0,76615.99,,57291171255.585365,,75.0
2024-11-10,BTC-USD,crypto,76539.97,81233.28,76539.97,80409.97,,71609202780.14983,,78.0
2024-11-11,BTC-USD,crypto,80486.91,89424.41,80381.97,88627.98,,115609444240.777,14.970000267028809,76.0
2024-11-12,BTC-USD,crypto,88213.99,89800.23,85175.97,88164.77,,200970767179.90244,14.710000038146973,80.0
2024-11-13,BTC-USD,crypto,88144.01,93243.92,86204.37,90300.02,,160918008013.6864,14.020000457763672,84.0
2024-11-14,BTC-USD,crypto,90224.2,91637.55,86938.85,87347.45,,153146346263.78745,14.3100004196167,88.0
2024-11-15,BTC-USD,crypto,87681.91,91741.72,87140.65,90949.94,,115603162996.73868,16.139999389648438,80.0
2024-11-16,BTC-USD,crypto,91135.39,91735.96,90131.55,90543.67,,87437209941.79442,,86.0
2024-11-17,BTC-USD,crypto,90642.34,91447.99,88768.66,89763.59,,59020288900.41115,,90.0
2024-11-18,BTC-USD,crypto,89782.53,92532.0,89453.11,90549.34,,78257155574.17421,15.579999923706056,83.0
2024-11-19,BTC-USD,crypto,90406.06,93836.94,90406.06,92119.47,,103897079169.331,16.350000381469727,90.0
2024-11-20,BTC-USD,crypto,92212.04,94819.96,91505.99,94174.71,,104283260657.96516,17.15999984741211,83.0
2024-11-21,BTC-USD,crypto,94267.41,98789.88,94111.91,98425.93,,124061794774.17133,16.8700008392334,82.0
2024-11-22,BTC-USD,crypto,98311.38,99498.52,97252.0,98851.49,,120715743965.81534,15.239999771118164,94.0
2024-11-23,BTC-USD,crypto,98788.34,98874.93,97191.99,97628.02,,83162177003.70035,,93.0
2024-11-24,BTC-USD,crypto,97693.54,98515.16,95759.99,97867.46,,59912158588.0,,80.0
2024-11-25,BTC-USD,crypto,97736.05,98746.64,92896.18,93079.67,,81967757600.00348,14.600000381469728,82.0
2024-11-26,BTC-USD,crypto,93064.01,94915.39,90860.03,91993.22,,130295482809.85364,14.100000381469728,79.0
2024-11-27,BTC-USD,crypto,91826.51,97208.23,91808.0,95899.86,,105995810362.98608,14.100000381469728,75.0
2024-11-28,BTC-USD,crypto,95850.02,96560.02,94688.0,95632.03,,91367563526.64809,,77.0
2024-11-29,BTC-USD,crypto,95665.53,98750.0,95383.46,97490.56,,12587.02498942,13.510000228881836,78.0
2024-11-30,BTC-USD,crypto,97489.8,97509.6,96129.73,96465.42,,3476.04255853,,84.0
